OTU_id	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	6	7	8	9
0	1.000	0.041	-0.086	0.021	0.004	-0.010	0.011	0.070	0.062	0.017	-0.010	-0.019	0.014	0.030	-0.038	0.057	-0.023	0.056	-0.018	0.025	0.081	0.011	0.141	0.029	-0.013	-0.097	0.042	-0.041	0.116	0.012	0.112	-0.053	-0.071	-0.004	0.057	0.031	-0.068	0.092	-0.100	-0.020	-0.049	-0.005	-0.061	0.055	-0.100	-0.107	-0.073	-0.125	-0.071	-0.049
1	0.041	1.000	0.057	0.078	0.019	0.000	-0.020	0.031	-0.001	-0.035	-0.120	-0.003	-0.020	0.033	-0.082	-0.086	-0.063	-0.047	0.083	0.030	-0.081	-0.066	0.009	0.032	0.035	-0.030	-0.026	0.044	-0.023	-0.006	0.045	0.028	0.009	0.038	-0.005	0.131	-0.075	0.125	0.011	-0.124	-0.091	0.086	0.011	-0.034	-0.072	0.000	0.031	0.009	-0.003	0.101
10	-0.086	0.057	1.000	0.055	0.019	-0.106	0.070	0.020	0.062	-0.021	0.103	0.007	-0.044	0.014	0.077	-0.104	-0.116	0.011	0.010	-0.044	-0.141	0.157	0.001	0.080	-0.021	0.022	-0.043	0.004	-0.011	0.074	-0.090	-0.019	0.046	-0.039	-0.016	-0.079	0.042	-0.142	0.049	-0.030	0.018	0.005	0.025	0.088	0.011	-0.037	0.051	-0.098	0.037	-0.065
11	0.021	0.078	0.055	1.000	-0.058	-0.007	-0.030	0.026	-0.080	-0.113	-0.081	-0.040	-0.049	0.054	-0.124	-0.041	0.064	-0.030	0.073	0.034	0.021	-0.048	0.021	-0.044	-0.006	-0.040	0.010	-0.029	0.021	-0.019	-0.041	0.137	-0.009	0.050	0.029	0.023	-0.114	0.023	0.048	0.028	0.054	0.035	0.053	0.094	0.136	-0.139	0.001	-0.094	0.047	0.017
12	0.004	0.019	0.019	-0.058	1.000	-0.050	0.041	-0.032	0.107	0.024	-0.037	-0.013	0.094	-0.009	0.017	-0.046	-0.015	-0.001	0.080	0.027	-0.030	-0.117	-0.080	0.084	0.011	0.029	0.013	-0.053	-0.030	-0.147	-0.077	0.039	0.000	0.089	0.013	-0.023	0.018	0.063	0.014	-0.005	-0.010	0.175	0.032	-0.064	0.074	0.088	-0.046	-0.020	-0.043	-0.073
13	-0.010	0.000	-0.106	-0.007	-0.050	1.000	0.069	0.014	-0.006	-0.007	-0.004	-0.081	0.005	0.042	0.040	0.052	0.083	-0.013	-0.052	0.079	-0.013	0.032	0.006	0.051	-0.032	-0.032	0.133	0.111	0.056	0.049	-0.062	-0.000	-0.109	0.006	0.051	-0.067	-0.046	0.106	-0.048	0.027	0.004	-0.010	-0.073	-0.050	-0.014	0.041	-0.038	0.035	-0.106	-0.042
14	0.011	-0.020	0.070	-0.030	0.041	0.069	1.000	0.033	0.012	0.040	-0.127	0.008	-0.048	-0.004	-0.008	-0.007	-0.047	-0.011	0.064	-0.027	-0.057	-0.062	0.027	-0.061	-0.055	-0.083	0.065	-0.008	-0.004	0.036	-0.051	0.023	0.035	0.074	-0.075	-0.051	0.089	0.052	-0.017	-0.074	0.011	0.126	0.101	-0.039	-0.028	-0.029	0.041	0.048	-0.015	-0.049
15	0.070	0.031	0.020	0.026	-0.032	0.014	0.033	1.000	-0.015	-0.004	-0.085	-0.094	-0.035	-0.055	-0.014	0.082	0.085	0.005	0.034	-0.092	0.060	0.089	0.039	0.028	0.023	-0.103	-0.016	0.044	-0.084	-0.024	-0.094	0.096	0.028	0.071	-0.044	0.010	0.071	0.099	-0.030	0.029	-0.026	0.020	-0.026	-0.022	-0.040	-0.055	0.057	-0.019	0.131	-0.061
16	0.062	-0.001	0.062	-0.080	0.107	-0.006	0.012	-0.015	1.000	-0.102	0.027	0.081	0.033	0.037	0.041	0.030	0.154	-0.003	0.002	-0.033	-0.036	0.040	-0.022	0.054	-0.097	0.002	-0.025	-0.081	0.031	-0.030	-0.061	-0.128	-0.010	0.061	-0.005	-0.027	0.010	-0.058	0.118	0.047	0.076	-0.094	-0.100	0.007	-0.040	-0.000	0.041	0.035	0.001	-0.054
17	0.017	-0.035	-0.021	-0.113	0.024	-0.007	0.040	-0.004	-0.102	1.000	0.022	0.048	0.032	-0.029	0.032	-0.077	-0.058	0.071	0.013	-0.021	0.025	-0.006	0.019	0.098	0.028	-0.022	0.054	0.025	0.010	0.020	-0.012	0.014	0.065	0.050	-0.015	0.029	-0.051	-0.047	-0.002	0.029	-0.109	-0.037	0.029	-0.027	0.062	0.082	0.049	-0.005	-0.047	-0.019
18	-0.010	-0.120	0.103	-0.081	-0.037	-0.004	-0.127	-0.085	0.027	0.022	1.000	-0.008	-0.094	0.056	0.113	0.027	-0.066	0.040	-0.020	-0.021	0.074	0.082	0.162	0.136	0.057	0.094	0.074	-0.015	-0.041	0.019	0.042	0.019	0.075	-0.020	0.037	-0.023	0.017	-0.033	-0.045	-0.003	0.030	0.053	0.021	0.044	0.011	-0.011	-0.059	-0.127	-0.015	-0.169
19	-0.019	-0.003	0.007	-0.040	-0.013	-0.081	0.008	-0.094	0.081	0.048	-0.008	1.000	-0.051	0.032	0.087	0.012	-0.025	0.026	-0.001	0.016	-0.011	0.049	-0.046	-0.001	-0.001	0.006	-0.011	0.002	0.080	-0.042	0.129	-0.050	0.006	-0.099	-0.012	0.024	-0.044	-0.055	0.027	0.092	-0.002	0.037	0.014	-0.005	0.083	0.008	-0.027	0.029	-0.036	0.012
2	0.014	-0.020	-0.044	-0.049	0.094	0.005	-0.048	-0.035	0.033	0.032	-0.094	-0.051	1.000	0.082	-0.048	0.113	0.012	-0.025	-0.046	0.073	-0.004	0.009	0.054	-0.040	0.094	-0.039	0.072	-0.085	0.058	-0.124	-0.033	-0.027	0.060	-0.057	0.025	-0.046	0.080	-0.016	-0.011	-0.012	-0.053	-0.047	0.025	-0.023	0.007	0.033	0.085	0.012	-0.069	0.060
20	0.030	0.033	0.014	0.054	-0.009	0.042	-0.004	-0.055	0.037	-0.029	0.056	0.032	0.082	1.000	-0.055	-0.103	-0.042	-0.074	0.053	0.055	0.087	-0.085	-0.057	-0.100	0.034	0.107	-0.068	0.010	0.054	0.103	0.006	-0.093	-0.023	0.050	-0.039	-0.089	0.057	0.012	-0.074	-0.062	0.034	0.006	0.026	0.117	-0.017	-0.030	-0.014	-0.145	-0.160	0.035
21	-0.038	-0.082	0.077	-0.124	0.017	0.040	-0.008	-0.014	0.041	0.032	0.113	0.087	-0.048	-0.055	1.000	-0.033	-0.030	0.012	-0.025	-0.011	0.034	0.030	-0.077	0.034	-0.078	0.046	0.071	0.064	0.003	0.016	0.022	-0.164	0.144	-0.087	-0.024	-0.063	0.020	-0.006	-0.039	0.063	0.035	0.027	-0.048	-0.005	0.031	0.024	-0.003	0.062	-0.152	-0.051
