koid	org	name	op	definition	source
KO03217	511145	hsdR	b4350		6255295
KO03218	511145	ydiQRSTD	b1697,b1698,b1699,b1700,b1701		15213221
KO03219	511145	ackA-pta	b2296,b2297		11350954
KO03220	511145	lpxAB-rnhB-dnaE	b0181,b0182,b0183,b0184		1715862  8021189
KO03221	511145	secMA	b0097,b0098		15494397
KO03222	511145	cusCFBA	b0572,b0573,b0574		15773991
KO03223	511145	yegMNOB-baeSR	b2074,b2075,b2076,b2077,b2078,b2079		12107134
KO03224	511145	G4C	b0981,b0982,b0983,b0984,b0985,b0986,b0987	group 4 capsule (G4C) polysaccharide	16030220
KO03225	511145	cysJI	b2763,b2764		3301533
KO03226	511145	rtcR	b3422		9738023
KO03227	511145	dnaAN	b3701,b3702		6449652  6234204
KO03228	511145	flhAB	b1879,b1880		6993282
KO03229	511145	flgJ	b1081		6993282
KO03230	511145	flgA	b1072		6993282
KO03231	511145	flgKL	b1082,b1083		6993282
KO03232	511145	flgBCDEFGHI	b1073,b1074,b1075,b1076,b1077,b1078,b1079,b1080		6993282
KO03233	511145	celABCDF	b1734,b1735,b1736,b1737,b1738		2179047
KO03234	511145	yhaUFED	b3124,b3125,b3126,b3127		7489504
KO03235	511145	napFDAGHBC	b2202,b2203,b2204,b2205,b2206,b2207,b2208		12029041 10464201 13129959
KO03236	511145	ccmABCDEFGH	b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201		10339610
KO03237	511145	ilvBN	b3670,b3671		2989781
KO03238	511145	clpX	b0438		8093059
KO03239	511145	queA-tgt-yajC-secDF	b0405,b0406,b0407,b0408		1508713 1706703
KO03240	511145	pth	b1204		12427937
KO03241	511145	speB	b2937		1310091
KO03242	511145	nikABCDE	b3476,b3477,b3478,b3479,b3480	nikel transport (nik)	7934931  9882686
KO03243	511145	fabF	b1095		8655562
KO03244	511145	araFGH	b4460,b1900,b1901	High-affinity L-arabinose transport	2445996
KO03245	511145	artJ	b0860	periplasmic transport system for L-arginine	8801422
KO03246	511145	ybjC-nfsA	b0850,b0851		11741843
KO03247	511145	artPIQM	b0861,b0862,b0863,b0864	periplasmic transport system for L-arginine	8801422
KO03248	511145	talB	b0008	pentose-phosphate pathway	8572885
KO03249	511145	talA	b2464	pentose-phosphate pathway	8572885
KO03250	511145	tktA	b2935	pentose-phosphate pathway	8572885
KO03251	511145	rpiB	b4090	pentose-phosphate pathway	8572885
KO03252	511145	rpiA	b2914	pentose-phosphate pathway	8572885
KO03253	511145	gnd	b2029	pentose-phosphate pathway	8572885
KO03254	511145	yhiM	b3491		12657056
KO03255	511145	yhiE	b3512		12657056
KO03256	511145	hdeD	b3511		12657056
KO03257	511145	gadA	b3517		12657056
KO03259	511145	yadB-dksA	b0144,b0145		15096594
KO03260	511145	glgBX	b3431,b3432	glycogen synthase	8576033
KO03261	511145	dsbD-cutA	b4136,b4137	disulfide bond formation	7628442
KO03262	511145	TU-0001	b0001,b0002,b0003,b0004		19881496
KO03263	511145	TU-0004	b0003,b0004		19881496
KO03264	511145	TU-0005	b0005		19881496
KO03265	511145	TU-0011	b0009		19881496
KO03266	511145	TU-0012	b0014,b0015		19881496
KO03267	511145	TU-0016	b0015		19881496
KO03268	511145	TU-0017	b2394		19881496
KO03270	511145	TU-0022	b0019,b0020		19881496
KO03271	511145	TU-0025	b0024		19881496
KO03272	511145	TU-0026	b0025,b0026		19881496
KO03273	511145	TU-0028	b0027		19881496
KO03274	511145	TU-0030	b0028,b0029,b0030		19881496
KO03275	511145	TU-0034	b0031		19881496
KO03276	511145	TU-0036	b0032,b0033		19881496
KO03277	511145	TU-0039	b0034		19881496
KO03278	511145	TU-0041	b0041,b0042,b0043,b0044		19881496
KO03279	511145	TU-0042	b0045		19881496
KO03280	511145	TU-0043	b0046,b0047		19881496
KO03281	511145	TU-0044	b0048		19881496
KO03282	511145	TU-0046	b0055		19881496
KO03283	511145	TU-0048	b4659		19881496
KO03284	511145	TU-0049	b0064		19881496
KO03285	511145	TU-0050	b0065		19881496
KO03287	511145	TU-0054	b0076		19881496
KO03288	511145	TU-0056	b0077,b0078		19881496
KO03289	511145	TU-0058	b0080		19881496
KO03290	511145	TU-0061	b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096		19881496
KO03291	511145	TU-0062	b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096		19881496
KO03292	511145	TU-0064	b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096		19881496
KO03293	511145	TU-0067	b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096		19881496
KO03294	511145	TU-0069	b0091,b0092,b0093,b0094,b0095,b0096		19881496
KO03295	511145	TU-0071	b0093,b0094,b0095,b0096		19881496
KO03296	511145	TU-0072	b0095,b0096		19881496
KO03297	511145	TU-0073	b0096		19881496
KO03298	511145	TU-0076	b0097,b0098,b0099		19881496
KO03299	511145	TU-0077	b0098,b0099		19881496
KO03300	511145	TU-0081	b0104		19881496
KO03301	511145	TU-0084	b0110,b0111		19881496
KO03302	511145	TU-0086	b0113,b0114,b0115,b0116		19881496
KO03303	511145	TU-0087	b0114,b0115,b0116		19881496
KO03304	511145	TU-0094	b0116		19881496
KO03305	511145	TU-0098	b0118		19881496
KO03306	511145	TU-0100	b0119		19881496
KO03307	511145	TU-0101	b0123		19881496
KO03308	511145	TU-0103	b0125		19881496
KO03309	511145	TU-0105	b0127,b0128,b0129		19881496
KO03310	511145	TU-0106	b0130		19881496
KO03311	511145	TU-0107	b0132		19881496
KO03312	511145	TU-0110	b0148		19881496
KO03313	511145	TU-0111	b0149		19881496
KO03314	511145	TU-0113	b0150,b0151,b0152,b0153		19881496
KO03315	511145	TU-0115	b0151,b0152,b0153		19881496
KO03316	511145	TU-0117	b0155		19881496
KO03317	511145	TU-0121	b0156		19881496
KO03318	511145	TU-0125	b0160		19881496
KO03319	511145	TU-0126	b0161,b0162		19881496
KO03321	511145	TU-0130	b0169,b0170		19881496
KO03322	511145	TU-0132	b0171		19881496
KO03323	511145	TU-0135	b0172,b0173		19881496
KO03324	511145	TU-0142	b0174,b0175		19881496
KO03325	511145	TU-0143	b0176,b0177		19881496
KO03326	511145	TU-0145	b0177		19881496
KO03327	511145	TU-0147	b0178,b0179		19881496
KO03328	511145	TU-0156	b0180,b0181,b0182,b0183,b0184		19881496
KO03329	511145	TU-0160	b0185		19881496
KO03330	511145	TU-0161	b0186		19881496
KO03331	511145	TU-0162	b0187,b0188		19881496
KO03332	511145	TU-0163	b0190,b0191,b0192		19881496
KO03333	511145	TU-0165	b0192		19881496
KO03334	511145	TU-0166	b0200		19881496
KO03337	511145	TU-0169	b0207		19881496
KO03338	511145	TU-0170	b0209,b0210		19881496
KO03339	511145	TU-0171	b0213		19881496
KO03340	511145	TU-0172	b0215		19881496
KO03342	511145	TU-0174	b0217		19881496
KO03343	511145	TU-0176	b4503		19881496
KO03344	511145	TU-0177	b0220		19881496
KO03345	511145	TU-0178	b0222,b0223		19881496
KO03346	511145	TU-0180	b0227,b0228		19881496
KO03347	511145	TU-0182	b0230		19881496
KO03348	511145	TU-0183	b0231		19881496
KO03349	511145	TU-0184	b0232,b0233,b0234		19881496
KO03350	511145	TU-0185	b0234		19881496
KO03351	511145	TU-0187	b0235		19881496
KO03352	511145	TU-0188	b0236		19881496
KO03353	511145	TU-0189	b0238		19881496
KO03354	511145	TU-0192	b0239		19881496
KO03355	511145	TU-0194	b0240		19881496
KO03356	511145	TU-0195	b0242,b0243		19881496
KO03358	511145	TU-0201	b4623,b4284,b4623		19881496
KO03359	511145	TU-0202	b4623		19881496
KO03360	511145	TU-0204	b0260,b0261		19881496
KO03361	511145	TU-0206	b0268,b0269,b0270,b0271		19881496
KO03362	511145	TU-0209	b0276		19881496
KO03364	511145	TU-0212	b0287		19881496
KO03365	511145	TU-0214	b0295		19881496
KO03366	511145	TU-0216	b0297		19881496
KO03367	511145	TU-0217	b2088,b2089		19881496
KO03368	511145	TU-0218	b4631		19881496
KO03369	511145	TU-0219	b0305		19881496
KO03370	511145	TU-0221	b0306,b0307,b0308		19881496
KO03371	511145	TU-0222	b0314		19881496
KO03372	511145	TU-0224	b0315		19881496
KO03373	511145	TU-0228	b0318,b0319,b0320,b0321		19881496
KO03374	511145	TU-0230	b0323,b0324		19881496
KO03375	511145	TU-0231	b0324		19881496
KO03376	511145	TU-0232	b0325		19881496
KO03377	511145	TU-0235	b0326		19881496
KO03378	511145	TU-0237	b0327		19881496
KO03379	511145	TU-0238	b0329		19881496
KO03381	511145	TU-0242	b0336,b0337		19881496
KO03382	511145	TU-0244	b0339,b0340,b0341		19881496
KO03383	511145	TU-0245	b0347,b0348,b0349,b0350,b0351,b0352		19881496
KO03384	511145	TU-0246	b0353		19881496
KO03385	511145	TU-0247	b0354		19881496
KO03386	511145	TU-0249	b4272,b4273		19881496
KO03387	511145	TU-0251	b0365,b0366,b0367,b0368		19881496
KO03388	511145	TU-0252	b4580		19881496
KO03389	511145	TU-0254	b4580,b0375		19881496
KO03390	511145	TU-0255	b0377		19881496
KO03391	511145	TU-0258	b0378		19881496
KO03392	511145	TU-0259	b0380		19881496
KO03393	511145	TU-0260	b0382		19881496
KO03394	511145	TU-0262	b0383,b0384		19881496
KO03395	511145	TU-0265	b0385		19881496
KO03396	511145	TU-0266	b0387		19881496
KO03397	511145	TU-0267	b0388,b0389,b0390		19881496
KO03398	511145	TU-0269	b0389,b0390		19881496
KO03399	511145	TU-0270	b0390		19881496
KO03400	511145	TU-0271	b0391		19881496
KO03401	511145	TU-0272	b0392		19881496
KO03402	511145	TU-0273	b0394		19881496
KO03403	511145	TU-0275	b0399,b0400		19881496
KO03404	511145	TU-0276	b0401,b0402		19881496
KO03405	511145	TU-0278	b0402		19881496
KO03406	511145	TU-0279	b0403		19881496
KO03407	511145	TU-0280	b0405,b0406		19881496
KO03408	511145	TU-0285	b0407,b0408,b0409		19881496
KO03409	511145	TU-0288	b0408,b0409		19881496
KO03410	511145	TU-0292	b0410		19881496
KO03413	511145	TU-0298	b0418		19881496
KO03414	511145	TU-0300	b0423		19881496
KO03415	511145	TU-0301	b0426		19881496
KO03416	511145	TU-0306	b0435		19881496
KO03417	511145	TU-0310	b0436		19881496
KO03418	511145	TU-0313	b0437,b0438		19881496
KO03419	511145	TU-0319	b0439		19881496
KO03420	511145	TU-0326	b0440		19881496
KO03421	511145	TU-0331	b0441,b0442,b0443		19881496
KO03422	511145	TU-0332	b0446		19881496
KO03423	511145	TU-0333	b0447,b0448,b0449		19881496
KO03424	511145	TU-0334	b0449		19881496
KO03425	511145	TU-0335	b0450,b0451		19881496
KO03426	511145	TU-0336	b0451		19881496
KO03427	511145	TU-0337	b0453		19881496
KO03429	511145	TU-0340	b0456		19881496
KO03430	511145	TU-0342	b0464		19881496
KO03431	511145	TU-0343	b0465		19881496
KO03432	511145	TU-0344	b0468		19881496
KO03433	511145	TU-0345	b0469		19881496
KO03434	511145	TU-0346	b0470		19881496
KO03435	511145	TU-0347	b0471,b0472		19881496
KO03436	511145	TU-0352	b0473		19881496
KO03437	511145	TU-0356	b0474		19881496
KO03438	511145	TU-0357	b0475		19881496
KO03439	511145	TU-0358	b0477		19881496
KO03440	511145	TU-0359	b0480		19881496
KO03442	511145	TU-0362	b0483		19881496
KO03443	511145	TU-0364	b0485,b0486		19881496
KO03444	511145	TU-0366	b0487		19881496
KO03445	511145	TU-0367	b0490,b0491		19881496
KO03447	511145	TU-0370	b0497		19881496
KO03448	511145	TU-0371	b0498,b0499		19881496
KO03449	511145	TU-0372	b0501		19881496
KO03450	511145	TU-0373	b4632		19881496
KO03451	511145	TU-0374	b0505		19881496
KO03452	511145	TU-0375	b0506		19881496
KO03455	511145	TU-0381	b0511,b0512,b0513,b0514		19881496
KO03456	511145	TU-0382	b0514		19881496
KO03457	511145	TU-0383	b0518,b4572,b0520,b0521		19881496
KO03458	511145	TU-0384	b0526		19881496
KO03459	511145	TU-0385	b0530		19881496
KO03460	511145	TU-0386	b0531,b0532		19881496
KO03461	511145	TU-0387	b0533,b0534		19881496
KO03463	511145	TU-0390	b4508,b0542		19881496
KO03465	511145	TU-0392	b0543		19881496
KO03466	511145	TU-0393	b0544		19881496
KO03467	511145	TU-0394	b0545,b0546		19881496
KO03468	511145	TU-0395	b4588,b0547,b0548,b0549,b0550,b4509		19881496
KO03469	511145	TU-0396	b0551		19881496
KO03470	511145	TU-0398	b0554,b0555,b0556,b4510		19881496
KO03471	511145	TU-0399	b0559		19881496
KO03472	511145	TU-0401	b0560,b4634		19881496
KO03473	511145	TU-0402	b0561		19881496
KO03474	511145	TU-0403	b0563		19881496
KO03475	511145	TU-0404	b0564		19881496
KO03477	511145	TU-0406	b0572		19881496
KO03478	511145	TU-0407	b0573,b0574,b0575		19881496
KO03479	511145	TU-0408	b0576		19881496
KO03480	511145	TU-0409	b4415		19881496
KO03481	511145	TU-0411	b0585,b4511,b0586		19881496
KO03482	511145	TU-0412	b0587		19881496
KO03483	511145	TU-0413	b0591		19881496
KO03484	511145	TU-0415	b0593,b0594,b0595,b0596,b0597		19881496
KO03485	511145	TU-0416	b0598,b4512		19881496
KO03486	511145	TU-0419	b0600		19881496
KO03487	511145	TU-0421	b0605,b0606		19881496
KO03488	511145	TU-0428	b0608		19881496
KO03489	511145	TU-0429	b0619,b0620		19881496
KO03490	511145	TU-0430	b0622		19881496
KO03491	511145	TU-0432	b0623		19881496
KO03492	511145	TU-0433	b4581		19881496
KO03493	511145	TU-0434	b0627		19881496
KO03494	511145	TU-0437	b0643		19881496
KO03495	511145	TU-0439	b0645,b0646		19881496
KO03496	511145	TU-0440	b0648,b0649		19881496
KO03497	511145	TU-0441	b0662		19881496
KO03498	511145	TU-0443	b0679		19881496
KO03499	511145	TU-0445	b0680		19881496
KO03500	511145	TU-0450	b0681,b0682		19881496
KO03501	511145	TU-0453	b0687,b0688		19881496
KO03502	511145	TU-0455	b0689		19881496
KO03503	511145	TU-0457	b4590		19881496
KO03504	511145	TU-0458	b0699		19881496
KO03505	511145	TU-0461	b0700,b0702		19881496
KO03506	511145	TU-0462	b0703		19881496
KO03507	511145	TU-0464	b0704		19881496
KO03508	511145	TU-0466	b4514		19881496
KO03509	511145	TU-0467	b0705		19881496
KO03510	511145	TU-0468	b0706		19881496
KO03511	511145	TU-0469	b0707,b0708		19881496
KO03512	511145	TU-0470	b0710,b0711,b0712,b0713,b0714		19881496
KO03513	511145	TU-0472	b0713,b0714		19881496
KO03514	511145	TU-0474	b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729		19881496
KO03515	511145	TU-0475	b0723,b0724		19881496
KO03516	511145	TU-0477	b0726,b0727,b0728,b0729		19881496
KO03517	511145	TU-0480	b0731,b0732		19881496
KO03518	511145	TU-0481	b0733,b0734		19881496
KO03519	511145	TU-0486	b4515		19881496
KO03520	511145	TU-0487	b0735		19881496
KO03521	511145	TU-0488	b0736,b0737,b0738,b0739		19881496
KO03522	511145	TU-0489	b0740,b0741,b0742		19881496
KO03526	511145	TU-0495	b0750		19881496
KO03527	511145	TU-0498	b0751		19881496
KO03528	511145	TU-0500	b0754		19881496
KO03529	511145	TU-0505	b0762		19881496
KO03530	511145	TU-0506	b0763,b0764,b0765		19881496
KO03531	511145	TU-0509	b0767		19881496
KO03532	511145	TU-0513	b0769,b0770,b0771		19881496
KO03534	511145	TU-0516	b0779		19881496
KO03535	511145	TU-0517	b0781,b0782,b0783,b0784,b0785		19881496
KO03536	511145	TU-0519	b0782,b0783,b0784,b0785		19881496
KO03537	511145	TU-0523	b0786		19881496
KO03538	511145	TU-0525	b0787		19881496
KO03539	511145	TU-0527	b0791		19881496
KO03540	511145	TU-0528	b0797		19881496
KO03541	511145	TU-0529	b0799		19881496
KO03542	511145	TU-0531	b0800		19881496
KO03543	511145	TU-0534	b0801		19881496
KO03544	511145	TU-0536	b0807		19881496
KO03545	511145	TU-0539	b0814		19881496
KO03547	511145	TU-0548	b0817,b0818		19881496
KO03548	511145	TU-0549	b0820		19881496
KO03549	511145	TU-0552	b0825		19881496
KO03550	511145	TU-0553	b0828,b0829,b0830,b0831,b0832		19881496
KO03551	511145	TU-0554	b0832		19881496
KO03552	511145	TU-0556	b0833,b0834		19881496
KO03553	511145	TU-0560	b0836		19881496
KO03554	511145	TU-0561	b0837		19881496
KO03555	511145	TU-0562	b0839		19881496
KO03556	511145	TU-0567	b0842		19881496
KO03557	511145	TU-0569	b0846		19881496
KO03558	511145	TU-0570	b0848		19881496
KO03559	511145	TU-0571	b0850,b0851,b0852,b0853		19881496
KO03560	511145	TU-0572	b0852,b0853		19881496
KO03561	511145	TU-0573	b0853		19881496
KO03562	511145	TU-0574	b0854,b0855,b0856,b0857,b0858		19881496
KO03563	511145	TU-0575	b0858		19881496
KO03564	511145	TU-0576	b0859		19881496
KO03565	511145	TU-0577	b0866,b0867		19881496
KO03566	511145	TU-0585	b0876		19881496
KO03567	511145	TU-0586	b0878,b0879		19881496
KO03568	511145	TU-0590	b0881,b0882		19881496
KO03569	511145	TU-0593	b0889		19881496
KO03570	511145	TU-0596	b0890		19881496
KO03571	511145	TU-0598	b0891,b0892		19881496
KO03572	511145	TU-0601	b0893		19881496
KO03573	511145	TU-0604	b0894,b0895,b0896		19881496
KO03574	511145	TU-0606	b0898		19881496
KO03575	511145	TU-0609	b0899		19881496
KO03576	511145	TU-0610	b0901		19881496
KO03577	511145	TU-0611	b0906		19881496
KO03578	511145	TU-0612	b0907,b0908		19881496
KO03579	511145	TU-0614	b0909		19881496
KO03580	511145	TU-0615	b0910		19881496
KO03581	511145	TU-0618	b0911		19881496
KO03582	511145	TU-0621	b0912		19881496
KO03583	511145	TU-0622	b0913		19881496
KO03584	511145	TU-0623	b0914,b0915,b0916		19881496
KO03585	511145	TU-0624	b0917,b0918		19881496
KO03586	511145	TU-0625	b0919		19881496
KO03587	511145	TU-0626	b0921,b0922,b0923,b0924		19881496
KO03588	511145	TU-0627	b0925		19881496
KO03589	511145	TU-0629	b0926,b0927		19881496
KO03590	511145	TU-0631	b0927		19881496
KO03591	511145	TU-0634	b0932		19881496
KO03592	511145	TU-0637	b0938,b0939,b0940,b0941,b0942,b0943,b0944		19881496
KO03593	511145	TU-0638	b0945		19881496
KO03594	511145	TU-0639	b0946		19881496
KO03595	511145	TU-0640	b0948,b0949		19881496
KO03596	511145	TU-0644	b0950,b0951,b0952		19881496
KO03597	511145	TU-0646	b0953		19881496
KO03598	511145	TU-0649	b0956		19881496
KO03599	511145	TU-0651	b0959		19881496
KO03600	511145	TU-0652	b0962		19881496
KO03601	511145	TU-0653	b0965		19881496
KO03602	511145	TU-0655	b0968		19881496
KO03603	511145	TU-0658	b0972,b0973,b0974,b0975,b0976,b0977		19881496
KO03604	511145	TU-0659	b0978,b0979,b4592,b0980		19881496
KO03605	511145	TU-0660	b0980		19881496
KO03606	511145	TU-0661	b4294,b4576		19881496
KO03607	511145	TU-0662	b0990		19881496
KO03608	511145	TU-0663	b0991		19881496
KO03609	511145	TU-0664	b4517		19881496
KO03610	511145	TU-0665	b0994		19881496
KO03611	511145	TU-0666	b0996,b0997,b0998		19881496
KO03612	511145	TU-0667	b0998		19881496
KO03613	511145	TU-0668	b1001		19881496
KO03614	511145	TU-0669	b1002		19881496
KO03615	511145	TU-0670	b4518		19881496
KO03616	511145	TU-0671	b1013		19881496
KO03617	511145	TU-0673	b1015		19881496
KO03618	511145	TU-0676	b4490,b1018,b1019		19881496
KO03619	511145	TU-0678	b1020		19881496
KO03620	511145	TU-0680	b1025		19881496
KO03621	511145	TU-0683	b1028		19881496
KO03622	511145	TU-0684	b1029		19881496
KO03623	511145	TU-0685	b1033,b1034,b1035		19881496
KO03624	511145	TU-0690	b1034,b1035		19881496
KO03625	511145	TU-0691	b1036		19881496
KO03626	511145	TU-0693	b1041,b1042,b1043,b1044		19881496
KO03627	511145	TU-0694	b1042		19881496
KO03628	511145	TU-0695	b1045,b1046		19881496
KO03629	511145	TU-0696	b1048,b1049		19881496
KO03630	511145	TU-0698	b1050		19881496
KO03631	511145	TU-0699	b1055		19881496
KO03632	511145	TU-0701	b1066,b1067,b1068,b1069		19881496
KO03633	511145	TU-0703	b1069		19881496
KO03634	511145	TU-0704	b1073,b1074,b1075,b1076,b1077		19881496
KO03635	511145	TU-0706	b1078,b1079,b1080,b1081		19881496
KO03636	511145	TU-0708	b1085		19881496
KO03637	511145	TU-0709	b1086		19881496
KO03639	511145	TU-0711	b1088,b1089		19881496
KO03642	511145	TU-0722	b1094,b1095		19881496
KO03643	511145	TU-0731	b1096,b1097,b1098,b1099,b1100		19881496
KO03644	511145	TU-0732	b1098,b1099,b1100		19881496
KO03645	511145	TU-0734	b1101		19881496
KO03646	511145	TU-0739	b1103,b1104,b1105,b1106,b1107,b1108		19881496
KO03647	511145	TU-0742	b1107,b1108		19881496
KO03648	511145	TU-0744	b1108		19881496
KO03649	511145	TU-0745	b1109		19881496
KO03650	511145	TU-0747	b1110		19881496
KO03651	511145	TU-0748	b1112		19881496
KO03653	511145	TU-0750	b1119,b1120		19881496
KO03654	511145	TU-0752	b1127		19881496
KO03655	511145	TU-0755	b4519		19881496
KO03656	511145	TU-0761	b1139		19881496
KO03657	511145	TU-0762	b1143		19881496
KO03658	511145	TU-0763	b1146,b1147,b1148,b4693,b1150,b1151,b1152,b1153		19881496
KO03659	511145	TU-0764	b1154,b1155		19881496
KO03660	511145	TU-0765	b1158		19881496
KO03661	511145	TU-0766	b1159		19881496
KO03662	511145	TU-0768	b1164,b1165,b1166,b1167		19881496
KO03663	511145	TU-0770	b1168		19881496
KO03664	511145	TU-0771	b4520		19881496
KO03665	511145	TU-0772	b4491		19881496
KO03666	511145	TU-0774	b4594		19881496
KO03667	511145	TU-0775	b4521		19881496
KO03668	511145	TU-0776	b1177		19881496
KO03669	511145	TU-0777	b1179,b1180		19881496
KO03670	511145	TU-0778	b1181		19881496
KO03672	511145	TU-0782	b1187		19881496
KO03673	511145	TU-0784	b1189,b1190		19881496
KO03674	511145	TU-0788	b1193		19881496
KO03675	511145	TU-0790	b1195		19881496
KO03676	511145	TU-0792	b1196		19881496
KO03677	511145	TU-0793	b1201		19881496
KO03678	511145	TU-0795	b1205		19881496
KO03679	511145	TU-0799	b1210,b1211,b1212,b1213		19881496
KO03680	511145	TU-0801	b1214,b1215		19881496
KO03681	511145	TU-0803	b1215		19881496
KO03685	511145	TU-0811	b1217		19881496
KO03686	511145	TU-0812	b1218		19881496
KO03687	511145	TU-0814	b1220		19881496
KO03688	511145	TU-0817	b1223		19881496
KO03689	511145	TU-0819	b1224,b1225,b1226,b1227		19881496
KO03691	511145	TU-0821	b1234,b1235		19881496
KO03692	511145	TU-0823	b1235		19881496
KO03693	511145	TU-0825	b1236		19881496
KO03694	511145	TU-0836	b1238		19881496
KO03695	511145	TU-0837	b1242		19881496
KO03696	511145	TU-0839	b1243,b1244,b1245,b1246,b1247		19881496
KO03697	511145	TU-0843	b1244,b1245,b1246,b1247		19881496
KO03698	511145	TU-0845	b4595		19881496
KO03699	511145	TU-0846	b1252		19881496
KO03700	511145	TU-0848	b1256		19881496
KO03701	511145	TU-0849	b1266		19881496
KO03702	511145	TU-0850	b1267		19881496
KO03703	511145	TU-0851	b1268		19881496
KO03704	511145	TU-0853	b1269		19881496
KO03705	511145	TU-0855	b1272		19881496
KO03706	511145	TU-0856	b1274		19881496
KO03707	511145	TU-0860	b1275		19881496
KO03708	511145	TU-0863	b4522,b4523		19881496
KO03709	511145	TU-0866	b1276		19881496
KO03710	511145	TU-0868	b1278		19881496
KO03711	511145	TU-0870	b1279,b1280		19881496
KO03712	511145	TU-0872	b1281,b1282		19881496
KO03713	511145	TU-0874	b1298,b1299,b1300,b1301,b1302		19881496
KO03714	511145	TU-0878	b1304,b1305,b1306,b1307,b1308		19881496
KO03715	511145	TU-0880	b1308		19881496
KO03716	511145	TU-0881	b1309,b1310,b1311,b1312,b1313,b1314,b1315,b1316,b1317,b4524,b1319		19881496
KO03717	511145	TU-0882	b1321,b1322		19881496
KO03718	511145	TU-0884	b1323		19881496
KO03719	511145	TU-0886	b1325		19881496
KO03720	511145	TU-0887	b1328		19881496
KO03721	511145	TU-0888	b1329		19881496
KO03722	511145	TU-0889	b3505		19881496
KO03723	511145	TU-0890	b1332		19881496
KO03724	511145	TU-0892	b1339		19881496
KO03725	511145	TU-0893	b1340		19881496
KO03726	511145	TU-0895	b1342		19881496
KO03728	511145	TU-0899	b1353		19881496
KO03729	511145	TU-0900	b1357,b1358,b1359,b1360,b1361,b1362,b4528		19881496
KO03730	511145	TU-0901	b1363		19881496
KO03731	511145	TU-0902	b1365,b1366		19881496
KO03732	511145	TU-0903	b1368,b4570		19881496
KO03733	511145	TU-0904	b4570,b1372,b1373		19881496
KO03735	511145	TU-0909	b4529		19881496
KO03736	511145	TU-0910	b1381,b1382,b1383		19881496
KO03737	511145	TU-0912	b1382,b1383		19881496
KO03738	511145	TU-0913	b1385		19881496
KO03739	511145	TU-0914	b1388,b1389,b1390,b1391,b1392,b1393,b1394,b1395,b1396,b1397,b1398		19881496
KO03740	511145	TU-0915	b1397		19881496
KO03741	511145	TU-0916	b1398		19881496
KO03742	511145	TU-0917	b1399,b1400		19881496
KO03746	511145	TU-0925	b1406		19881496
KO03747	511145	TU-0926	b1407		19881496
KO03748	511145	TU-0927	b1408,b1409,b1410,b1411		19881496
KO03749	511145	TU-0928	b1413		19881496
KO03750	511145	TU-0929	b1414		19881496
KO03751	511145	TU-0931	b1415		19881496
KO03752	511145	TU-0932	b1418		19881496
KO03753	511145	TU-0933	b1419		19881496
KO03755	511145	TU-0935	b1421		19881496
KO03756	511145	TU-0936	b1423		19881496
KO03757	511145	TU-0937	b1424		19881496
KO03758	511145	TU-0938	b1426		19881496
KO03759	511145	TU-0939	b1427		19881496
KO03760	511145	TU-0940	b1429,b1430		19881496
KO03761	511145	TU-0941	b1431		19881496
KO03762	511145	TU-0942	b1432		19881496
KO03763	511145	TU-0944	b1434,b1435		19881496
KO03764	511145	TU-0945	b4532,b1438		19881496
KO03765	511145	TU-0946	b1439		19881496
KO03766	511145	TU-0947	b1440,b1441,b1442,b1443,b1444		19881496
KO03767	511145	TU-0949	b1443,b1444		19881496
KO03768	511145	TU-0950	b1445		19881496
KO03769	511145	TU-0952	b1446		19881496
KO03770	511145	TU-0953	b1449,b1450		19881496
KO03771	511145	TU-0954	b1450		19881496
KO03772	511145	TU-0956	b1452		19881496
KO03773	511145	TU-0958	b1454		19881496
KO03774	511145	TU-0959	b1455		19881496
KO03775	511145	TU-0960	b1456		19881496
KO03776	511145	TU-0961	b1457		19881496
KO03777	511145	TU-0962	b1459,b1460		19881496
KO03778	511145	TU-0963	b1461		19881496
KO03779	511145	TU-0966	b1463		19881496
KO03780	511145	TU-0967	b1474,b1475,b1476		19881496
KO03781	511145	TU-0969	b1482		19881496
KO03782	511145	TU-0973	b1513,b1514,b1515,b1516		19881496
KO03783	511145	TU-0974	b1517,b1518		19881496
KO03784	511145	TU-0975	b1519		19881496
KO03785	511145	TU-0977	b1526		19881496
KO03786	511145	TU-0978	b1527		19881496
KO03787	511145	TU-0979	b1528		19881496
KO03788	511145	TU-0981	b1530,b1531,b1532		19881496
KO03789	511145	TU-0982	b1534		19881496
KO03790	511145	TU-0983	b4599		19881496
KO03791	511145	TU-0986	b1537		19881496
KO03792	511145	TU-0989	b1539		19881496
KO03793	511145	TU-0991	b1540		19881496
KO03794	511145	TU-0992	b1541		19881496
KO03795	511145	TU-0994	b1544		19881496
KO03796	511145	TU-0995	b1545		19881496
