query_name,Length,cog_myva,COG_category,COG,description,Evalue,Identities,QueryLength,LengthQuery
XOCp0001,267,XFa0064,,,,1E-86,0.553784860557769,267,248
XOCp0002,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0003,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0004,212,CC1537,D,COG1192,ATPases involved in chromosome partitioning,1E-31,0.346534653465347,212,202
XOCp0004,212,aq_aa35,D,COG1192,ATPases involved in chromosome partitioning,6E-19,0.302439024390244,212,202
XOCp0004,212,XF1084,D,COG1192,ATPases involved in chromosome partitioning,2E-15,0.323076923076923,212,194
XOCp0004,212,XFa0060,D,COG1192,ATPases involved in chromosome partitioning,2E-15,0.3,212,220
XOCp0004,212,RSc2605,D,COG1192,ATPases involved in chromosome partitioning,7E-15,0.322274881516588,212,205
XOCp0004,212,slr0110,D,COG1192,ATPases involved in chromosome partitioning,1E-14,0.300970873786408,212,198
XOCp0004,212,DRC0025,D,COG1192,ATPases involved in chromosome partitioning,3E-14,0.307339449541284,212,198
XOCp0004,212,RSp0003,D,COG1192,ATPases involved in chromosome partitioning,5E-14,0.316279069767442,212,214
XOCp0004,212,SMc01579,D,COG1192,ATPases involved in chromosome partitioning,2E-13,0.294416243654822,212,194
XOCp0004,212,HP1000,D,COG1192,ATPases involved in chromosome partitioning,2E-13,0.243119266055046,212,216
XOCp0004,212,mlr9294,D,COG1192,ATPases involved in chromosome partitioning,2E-12,0.300970873786408,212,202
XOCp0004,212,DR0013,D,COG1192,ATPases involved in chromosome partitioning,3E-11,0.272727272727273,212,242
XOCp0004,212,alr1113,D,COG1192,ATPases involved in chromosome partitioning,5E-11,0.237113402061856,212,290
XOCp0004,212,AGc3875,D,COG1192,ATPases involved in chromosome partitioning,4E-10,0.308510638297872,212,186
XOCp0004,212,DR1685,D,COG1192,ATPases involved in chromosome partitioning,3E-10,0.302439024390244,212,200
XOCp0004,212,XF2282,D,COG1192,ATPases involved in chromosome partitioning,3E-09,0.268292682926829,212,246
XOCp0004,212,BH4058,D,COG1192,ATPases involved in chromosome partitioning,8E-09,0.293413173652695,212,167
XOCp0004,212,PA5563,D,COG1192,ATPases involved in chromosome partitioning,1E-08,0.282828282828283,212,198
XOCp0004,212,BS_soj,D,COG1192,ATPases involved in chromosome partitioning,2E-08,0.281437125748503,212,167
XOCp0004,212,slr0929,D,COG1192,ATPases involved in chromosome partitioning,9E-09,0.303867403314917,212,172
XOCp0004,212,CC2165,D,COG1192,ATPases involved in chromosome partitioning,3E-08,0.286764705882353,212,136
XOCp0004,212,AGpT18,D,COG1192,ATPases involved in chromosome partitioning,5E-08,0.271739130434783,212,182
XOCp0004,212,lin2923,D,COG1192,ATPases involved in chromosome partitioning,5E-08,0.293413173652695,212,167
XOCp0004,212,TVN1480,D,COG1192,ATPases involved in chromosome partitioning,1E-07,0.326666666666667,212,147
XOCp0004,212,AGc5130,D,COG1192,ATPases involved in chromosome partitioning,3E-07,0.292207792207792,212,154
XOCp0004,212,Rv1708,D,COG1192,ATPases involved in chromosome partitioning,2E-06,0.251968503937008,212,253
XOCp0004,212,alr2856_2,D,COG0489,ATPases involved in chromosome partitioning,7E-06,0.301204819277108,212,163
XOCp0004,212,alr3222,D,COG1192,ATPases involved in chromosome partitioning,7E-06,0.288888888888889,212,171
XOCp0005,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0006,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0007,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0008,123,XF1759,,,,1E-16,0.354545454545455,123,101
XOCp0009,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0010,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0011,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0012,235,XFa0050,,,,6E-88,0.573839662447257,235,235
XOCp0013,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0014,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0015,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0016,524,PSLT104_1,U,COG3505,"Type IV secretory pathway, VirD4 components",9E-36,0.252450980392157,524,398
XOCp0016,524,mlr9261,U,COG3505,"Type IV secretory pathway, VirD4 components",1E-08,0.24113475177305,524,265
XOCp0017,986,alr8034_1,L,COG0507,"ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member",3E-64,0.318007662835249,986,495
XOCp0018,108,XF1862,T,COG2337,Growth inhibitor,9E-29,0.471698113207547,108,105
XOCp0018,108,SMb21475,T,COG2337,Growth inhibitor,9E-16,0.596774193548387,108,62
XOCp0018,108,BMEII0186,T,COG2337,Growth inhibitor,1E-13,0.375,108,88
XOCp0018,108,RC0006,T,COG2337,Growth inhibitor,2E-09,0.293333333333333,108,75
XOCp0019,72,XF1863,,,,7E-18,0.5,72,65
XOCp0019,72,MT2721,,,,6E-07,0.46,72,49
XOCp0020,0,HITS_NOT_FOUND,,,,0,0,0,0
XOCp0021,302,BMEII0025,,,,1E-64,0.601190476190476,302,167
XOCp0021,302,XFa0002,,,,5E-40,0.458333333333333,302,162
XOCp0021,302,AGpT3,,,,2E-14,0.321428571428571,302,182
XOCp0022,340,RC0390,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",5E-83,0.414201183431953,340,322
XOCp0022,340,RP292,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",1E-82,0.414201183431953,340,322
XOCp0022,340,mlr9260,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",1E-72,0.423780487804878,340,314
XOCp0022,340,CC2423,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",1E-71,0.396396396396396,340,317
XOCp0022,340,AGpAbx65,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",4E-66,0.38368580060423,340,315
XOCp0022,340,SMa1302,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",1E-64,0.36969696969697,340,315
XOCp0022,340,BMEII0035,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",3E-55,0.38047138047138,340,283
XOCp0022,340,XFa0015,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",2E-49,0.337931034482759,340,274
XOCp0022,340,AGpT14,NU,COG0630,"Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis",5E-45,0.319018404907975,340,311
XOCp0022,340,mlr6483,U,COG4962,"Flp pilus assembly protein, ATPase CpaF",1E-34,0.445086705202312,340,172
