proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Extensions.vb,66,8,10,48,1,0,3,1,0,2288,2.29 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpDriver.vb,79,18,11,50,1,0,2,5,0,2575,2.58 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,ServerComponent.vb,11,0,4,7,1,0,1,0,0,229,229 B
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,SessionManager.vb,67,13,13,41,1,2,3,2,0,2602,2.60 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Configuration/Configuration.vb,110,18,23,69,1,15,0,4,0,5401,5.40 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Configuration/Session.vb,33,0,8,25,1,4,0,1,0,1219,1.22 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,FileSystem/FileObject.vb,91,5,23,63,3,6,3,5,0,2705,2.71 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,FileSystem/FileSystem.vb,264,55,40,169,1,1,2,13,0,10623,10.62 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,FileSystem/WebFileSystem.vb,176,27,33,116,1,3,5,3,0,6638,6.64 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/HttpProcessor.vb,936,276,135,525,1,7,20,10,0,40877,40.88 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/HttpServer.vb,314,134,39,141,1,5,6,2,0,13253,13.25 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/HttpSocket.vb,80,11,16,53,4,0,5,1,0,3332,3.33 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/Content.vb,39,12,6,21,1,3,1,1,0,1310,1.31 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/HttpPOSTRequest.vb,96,9,12,75,1,1,1,3,0,3791,3.79 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/HttpRequest.vb,116,31,17,68,1,7,3,5,0,3999,4.00 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/HttpResponse.vb,600,277,80,243,3,1,27,10,2,24653,24.65 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/JsonResponse.vb,30,12,5,13,1,2,0,1,0,838,838 B
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,My Project/Resources.Designer.vb,73,26,9,38,1,3,0,0,0,3146,3.15 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/HttpStream/HttpMultipart.vb,266,22,36,208,1,0,1,9,0,9564,9.56 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/HttpStream/HttpPostedFile.vb,125,40,16,69,1,4,5,2,0,4808,4.81 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/HttpStream/PostReader.vb,211,41,30,140,5,6,4,2,0,8440,8.44 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/HttpStream/StreamElement.vb,15,0,3,12,1,0,0,1,0,497,497 B
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/LongPoll/LongPollConnection.vb,152,90,11,51,1,8,2,3,0,6517,6.52 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/LongPoll/LongPollDelegate.vb,160,90,20,50,8,5,5,6,0,7053,7.05 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/LongPoll/LongPollManager.vb,388,179,49,160,1,2,3,21,0,17140,17.14 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/Options/Preflight.vb,53,18,6,29,1,0,1,1,0,2682,2.68 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/WebSocket/WebSocketConnection.vb,601,183,90,328,1,8,10,9,0,26316,26.32 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/WebSocket/WebSocketDelegate.vb,199,103,22,74,13,8,11,2,0,8712,8.71 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/WebSocket/WebSocketFrame.vb,415,154,54,207,4,10,2,7,0,17050,17.05 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/WebSocket/WebSocketManager.vb,311,135,40,136,1,2,3,15,0,13808,13.81 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,Http/WebSocket/WebSocketServer.vb,204,87,28,89,1,3,5,8,0,8479,8.48 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/Protocol/Cookies.vb,56,3,12,41,1,0,1,6,0,1928,1.93 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/Protocol/HttpError.vb,49,0,11,38,1,0,3,2,0,1461,1.46 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/Protocol/HttpHeader.vb,112,46,14,52,3,0,3,0,0,4796,4.80 KB
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,HttpMessage/Protocol/WebForm.vb,6,0,2,4,1,0,0,0,0,82,82 B
G:/GCModeller/src/runtime/httpd/src/Flute/Flute.NET5.vbproj,<project>,6504,2123,928,3453,70,116,141,161,2,268812,268.81 KB
G:/GCModeller/src/runtime/httpd/src/FluteBuild/FluteBuild.vbproj,CompilerConfig.vb,113,8,31,74,4,9,2,5,0,3251,3.25 KB
G:/GCModeller/src/runtime/httpd/src/FluteBuild/FluteBuild.vbproj,Program.vb,145,2,23,120,1,0,2,3,0,6316,6.32 KB
G:/GCModeller/src/runtime/httpd/src/FluteBuild/FluteBuild.vbproj,<project>,258,10,54,194,5,9,4,8,0,9567,9.57 KB
G:/GCModeller/src/runtime/httpd/src/HTTP_SERVER/Fluteway.vbproj,Fluteway.vb,99,47,12,40,1,0,1,1,0,3599,3.60 KB
G:/GCModeller/src/runtime/httpd/src/HTTP_SERVER/Fluteway.vbproj,HttpServices.vb,58,10,12,36,1,1,3,1,0,1944,1.94 KB
G:/GCModeller/src/runtime/httpd/src/HTTP_SERVER/Fluteway.vbproj,Interop.vb,6,0,1,5,1,0,0,1,0,160,160 B
G:/GCModeller/src/runtime/httpd/src/HTTP_SERVER/Fluteway.vbproj,Program.vb,108,23,17,68,1,0,2,3,0,4653,4.65 KB
G:/GCModeller/src/runtime/httpd/src/HTTP_SERVER/Fluteway.vbproj,<project>,271,80,42,149,4,1,6,6,0,10356,10.36 KB
G:/GCModeller/src/runtime/httpd/src/SessionManager/Flute.SessionManager.vbproj,Extensions.vb,21,0,5,16,1,0,0,2,0,771,771 B
G:/GCModeller/src/runtime/httpd/src/SessionManager/Flute.SessionManager.vbproj,FileWriter.vb,105,14,13,78,1,0,5,0,0,3750,3.75 KB
G:/GCModeller/src/runtime/httpd/src/SessionManager/Flute.SessionManager.vbproj,SessionFile.vb,184,20,35,129,1,0,2,10,0,6062,6.06 KB
G:/GCModeller/src/runtime/httpd/src/SessionManager/Flute.SessionManager.vbproj,<project>,310,34,53,223,3,0,7,12,0,10583,10.58 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/Flute.Template.vbproj,VBHtml.vb,161,54,22,85,1,3,4,5,0,6039,6.04 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/Flute.Template.vbproj,Interpolate/Foreach.vb,92,37,15,40,1,0,1,2,0,3390,3.39 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/Flute.Template.vbproj,Interpolate/Includes.vb,80,5,16,59,1,0,1,1,0,3477,3.48 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/Flute.Template.vbproj,Interpolate/Variable.vb,113,19,18,76,1,0,3,3,0,4141,4.14 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/Flute.Template.vbproj,My Project/Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2789,2.79 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/Flute.Template.vbproj,Reflection/GetValue.vb,86,1,18,67,1,0,1,2,0,3253,3.25 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/Flute.Template.vbproj,<project>,595,139,97,359,6,5,10,13,0,23089,23.09 KB
G:/GCModeller/src/runtime/httpd/src/VBScript/test/test.vbproj,Program.vb,36,0,12,24,2,2,2,0,0,903,903 B
G:/GCModeller/src/runtime/httpd/src/VBScript/test/test.vbproj,<project>,36,0,12,24,2,2,2,0,0,903,903 B
G:/GCModeller/src/runtime/httpd/test/http_integration_test/HttpIntegrationTest.vbproj,Program.vb,417,39,61,317,3,0,4,5,0,17547,17.55 KB
G:/GCModeller/src/runtime/httpd/test/http_integration_test/HttpIntegrationTest.vbproj,<project>,417,39,61,317,3,0,4,5,0,17547,17.55 KB
G:/GCModeller/src/runtime/httpd/test/test/test.vbproj,Program.vb,25,0,7,18,1,0,1,0,0,834,834 B
G:/GCModeller/src/runtime/httpd/test/test/test.vbproj,<project>,25,0,7,18,1,0,1,0,0,834,834 B
G:/GCModeller/src/runtime/httpd/test/websocket_test/WebSocketTest.vbproj,Program.vb,454,84,92,278,3,0,6,1,0,18570,18.57 KB
G:/GCModeller/src/runtime/httpd/test/websocket_test/WebSocketTest.vbproj,<project>,454,84,92,278,3,0,6,1,0,18570,18.57 KB
../,<root>,17740,5018,2692,10030,194,266,362,412,4,720522,720.52 KB
